order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD461606,ID0560997595,12-12-2019,Thompson,"[('Olivia x460', 1), ('Universe Note', 2), ('iAssist Line', 1), ('Alcon 10', 1)]",19300.0,73.48,-37.8102567,144.9384715,15,16478.48,Summer,False,0.8025,simply love it. cheaper and have all or more of ... simply love it. cheaper and have all or more of the apps for an android phone. battery lasts longer and internet connection is simple and fast. we highly recommend it.,True
ORD078010,ID1038084498,04-10-2019,Nickolson,"[('Alcon 10', 1), ('iStream', 2)]",9250.0,100.93,-37.8129669,144.9655656,15,7963.43,Spring,True,0.7179,"its worth the price it was awesome, came in good condition n at the perfect time..",True
ORD469113,ID0547586920,31-08-2019,Bakers,"[('iStream', 2), ('Lucent 330S', 2)]",2760.0,60.28,-37.8131949,144.9875679,10,2544.28,Winter,True,0.7623,bad serial number took this to the verdon store when i received it. bad serial number. couldn't be activated. they also told me this was a refurbished phone. no mention of that in item description. spent another $10 somewhere else and did get a new one. very disappointed.,False
ORD231977,ID0591432438,25-01-2019,Thompson,"[('Candle Inferno', 1), ('pearTV', 1)]",6740.0,87.82,-37.8191244,144.9654965,15,5816.82,Summer,True,0.3614,"is worth the money (: can't complain about anything..... anyone has the right to buy whatever they want, u have to be sure of what u want..... i'm never disappointed with the universe fam! (:",True
ORD114153,ID0242532857,15-10-2019,Nickolson,"[('iStream', 2), ('Thunder line', 2), ('Olivia x460', 2), ('Alcon 10', 1)]",16060.0,112.06,-37.7994457,144.9725127,25,12157.06,Spring,True,2.1475,but this has worked out just fine for me i was hesitant to get a refurbished phone. but this has worked out just fine for me. i do not need the latest and greatest just one that works well... not a gamer on the phone....,True
ORD042762,ID0356097943,22-07-2019,Thompson,"[('Olivia x460', 2), ('Candle Inferno', 1)]",2880.0,67.75,-37.819823,144.9900792,5,2803.75,Winter,False,1.184,great balue very clean refurbished phonr,True
ORD217550,ID2469584361,15-12-2019,Bakers,"[('Olivia x460', 1), ('Thunder line', 2)]",5585.0,83.76,-37.7998278,144.9899197,5,5389.51,Summer,True,1.2245,one star no volume i did returned,False
ORD144715,ID0443274306,23-11-2019,Bakers,"[('Alcon 10', 2), ('iStream', 1), ('Thunder line', 2)]",22410.0,81.85,-37.82198,145.0027637,10,20250.85,Spring,False,1.4894,easy to set up,True
ORD116144,ID2174963257,11-08-2019,Thompson,"[('Candle Inferno', 2), ('pearTV', 1)]",7170.0,66.41,-37.8194228,144.9542336,25,5443.91,Winter,False,0.9806,"five stars it's perfect, i love it",True
ORD082821,ID0412776176,28-03-2019,Bakers,"[('iAssist Line', 2), ('Toshika 750', 1)]",8770.0,76.89,-37.8117788,144.9957427,15,7531.39,Autumn,True,0.2035,finally! upgraded from universe note 3. so glad i did it's a beast!,True
ORD494153,ID4061053476,18-06-2019,Thompson,"[('iAssist Line', 2), ('iStream', 2), ('Toshika 750', 1)]",9070.0,72.34,-37.8100093,144.9957902,0,9142.34,Winter,True,0.0491,five stars love this phone. very nice!,True
ORD305398,ID4162427908,11-06-2019,Nickolson,"[('Lucent 330S', 2), ('Thunder line', 2), ('Toshika 750', 1), ('Alcon 10', 1)]",20090.0,60.55,-37.8197515,144.9697679,25,15128.05,Winter,False,0.1301,worked like a charm its all good,True
ORD489747,ID0246725700,23-12-2019,Nickolson,"[('Universe Note', 1), ('Toshika 750', 2)]",12090.0,104.04,-37.8009935,144.9722605,15,10380.54,Summer,True,1.9738,love it great lil phone for the price :),True
ORD352416,ID1463547031,11-05-2019,Bakers,"[('iStream', 2), ('Thunder line', 1), ('Olivia x460', 2), ('Candle Inferno', 2)]",5790.0,79.98,-37.8185975,145.0049724,15,5001.48,Autumn,True,1.2847,"a+ love it, great price",True
ORD398630,ID4315294432,12-02-2019,Thompson,"[('Alcon 10', 2), ('pearTV', 2), ('Candle Inferno', 2), ('iStream', 2)]",31680.0,72.87,-37.8170339,144.9532569,15,27000.87,Summer,False,0.7292,"five stars like new, everything as advertised",True
ORD155276,ID3072718449,24-08-2019,Nickolson,"[('Candle Inferno', 2), ('pearTV', 1), ('Toshika 750', 2)]",15810.0,68.28,-37.8251297,144.9567189,5,15087.78,Winter,False,1.3425,shipping was quick and easy. the phone works as advertised. shipping was quick and easy.,True
ORD005880,ID0493053633,22-12-2019,Bakers,"[('Lucent 330S', 1), ('Alcon 10', 2), ('Universe Note', 2)]",12602.289933290798,92.6,-37.8045608,144.9878389,0,12224.994804123713,Summer,True,0.8882,"almost there still weaning off alcon. universe is a good phone, much wider screen, and that was my selling point, but it's an adjustment.",True
ORD245789,ID1560149473,05-07-2019,Thompson,"[('Universe Note', 2), ('Thunder line', 1), ('pearTV', 1)]",15390.0,64.56,-37.8157195,144.9371449,25,11607.06,Winter,False,0.9363,great phone this is an easy to use phone has great features like texting and sending pictures uses too many minutes to use to log onto internet,True
ORD104058,ID3215106476,03-02-2019,Thompson,"[('Candle Inferno', 1), ('Olivia x460', 2), ('iAssist Line', 1)]",5105.0,74.49,-37.8093631,144.9499094,25,3903.24,Summer,True,0.4452,"did not work on my carrier the phone was beautiful, looked brand new. the problem was it would jump off my t mobile network. it worked great at home on my wifi, but would not connect with any 2g, 3g or lte 3 different t mobile stores worked on this phone and could not fix it. on the plus side, i was able to return it with no problem.",False
ORD071469,ID4787976072,20-10-2019,Thompson,"[('Candle Inferno', 1), ('Alcon 10', 1), ('Universe Note', 2)]",16280.0,66.7,-37.8011739,144.9416032,0,16346.7,Spring,False,1.3674,dont buy refurbished battery doesn't fully charge,False
ORD037400,ID0775946111,14-01-2019,Thompson,"[('pearTV', 1), ('Thunder line', 1), ('Olivia x460', 1), ('iStream', 1)]",9865.0,77.62760508357314,-37.8058626,144.9593204,5,9451.56,Summer,False,1.3175,good product good product,True
ORD106234,ID0746917820,30-10-2019,Nickolson,"[('Toshika 750', 2), ('Alcon 10', 2)]",26540.0,87.99,-37.8247896,144.982697,25,19992.99,Spring,True,1.346,no sim card tray the phone came without a sim card tray. it's essentially just a paper weight until i order another part from a separate seller because someone forgot the most important part to be able to use the phone.,False
ORD407146,ID0441587192,07-03-2019,Thompson,"[('Lucent 330S', 2), ('pearTV', 2)]",15080.0,65.16,-37.8133731,144.9381111,5,14391.16,Autumn,False,0.7916,"five stars great job, it is amazing smatphone",True
ORD326712,ID0370470104,04-11-2019,Bakers,"[('Lucent 330S', 2), ('Universe Note', 1)]",5910.0,93.9,-37.8176544,145.010849,15,5117.4,Spring,True,1.6165,only lasted 2 months. i bought this phone for my granddaughters 25th birthday on july 23. she loved it. but it has only been 2 months and the phone doesn’t work anymore. screen is black and won’t do anything. we are very disappointed.,False
ORD288226,ID0309346900,17-05-2019,Bakers,"[('Lucent 330S', 2), ('Alcon 10', 2)]",20360.0,78.27,-37.8134029,145.0025066,15,17384.27,Autumn,True,0.7437,"not very loud but quality and ease of use is great. sound is perfect for background music, would suggest 2-or more connected together if you’re trying to use for hosting a louder party",True
ORD157011,ID0711331500,17-06-2019,Thompson,"[('Universe Note', 2), ('Alcon 10', 2), ('Thunder line', 1)]",26980.0,77.97,-37.8071366,144.9565054,10,24359.97,Winter,True,1.0337,check batteries right away i purchased two. for my young kids. one battery worked and the other battery would only hold couple minute charge. phones were in good shape.,True
ORD211712,ID0777788921,05-04-2019,Thompson,"[('Alcon 10', 2), ('Universe Note', 1), ('Toshika 750', 2), ('Thunder line', 1)]",32170.0,65.55,-37.8061701,144.9550219,25,24193.05,Autumn,False,1.0066,five stars works great. i like the quality of the screen.,True
ORD332635,ID1492149397,15-05-2019,Thompson,"[('Universe Note', 1), ('Thunder line', 2), ('Candle Inferno', 2)]",8670.0,63.96,-37.8130082,144.9521171,15,7433.46,Autumn,False,0.4455,its everything i wanted i love this phone so much,True
